Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,154.904053954304,158.295443839905,134.604049387252,142.567315183843,172.871404739645,185.272830388431,195.68030069946,221.37676515051,242.443111132115,270.800938242052,276.531053387927,291.414811415102,312.871106221076,311.36147791752,300.302010456207,290.709987451581,290.76869303921,253.560426824835,231.209849026491,281.470038100366,300.656004499333,272.908981709035,261.661782515069,178.3021698236,130.122872779723,189.636183097269,175.888792707824,163.466066969211,151.98124618651,136.766974045202,175.450172836554,178.488979175134,200.447559339194,215.492040418986,233.612918489572,265.318365819848,286.849668251411,385.927955015192,388.788787337758,434.411872127375,535.444845309091,610.715502892246,647.721984058562,629.434135049464,594.661805205021,552.722397327567,525.188137437317,533.339053698917,513.194330789521,511.736488725179,511.480174890458,379.019110005297,349.31983519948,396.015996761865
Albania,1038.67425385793,1042.77100759197,1047.29092018617,1052.2324984589,1057.35382155796,1063.24247909961,1069.77100024696,1075.64383707778,1082.9281354527,884.731450658551,783.002311635859,793.959448347917,801.018398312876,793.556393443913,767.544208576118,768.086113545636,776.346195379901,755.261086742838,765.783380709118,901.916923207631,654.599954086046,486.548237015837,461.884516294108,518.771708721403,575.318121933546,734.299735766961,985.816221988083,688.819950451309,795.876319610263,1010.37295901289,1101.52346069114,1247.44558478892,1389.83344736307,1783.61209197211,2316.17451201021,2617.57578671811,2915.9727810069,3532.16055389576,4303.92694054772,4066.95789168952,4072.3832947728,4427.51259407857,4233.61101558403,4394.11018976267,4555.52463858469,3928.36239989127,4093.08221740288,4492.28577814412,5236.77195361737,5338.56803544525,5279.58788618836,6292.23186204365,6689.8873239603,8172.29496601919
Algeria,374.000707514862,380.431272287796,497.427917734368,624.841266554466,876.1861365562,992.15178977722,1081.71421757569,1233.60052550622,1506.47172874746,1840.77552125235,2270.7477095132,2302.96315483426,2269.22569845447,2369.0013341504,2483.45145008505,2629.261039682,2766.38485127256,2744.18231250427,2432.87217068375,2235.7353399703,2433.47408247533,1791.79360506275,1844.09291535734,1864.09212402098,1517.92188640905,1474.2257408769,1613.20633478849,1625.07075566661,1599.74696240038,1592.52044381291,1768.93237549764,1757.24824312797,1789.53438203925,2109.15699566756,2615.29268857669,3116.89993534239,3480.51978694021,3947.92026855383,4911.41924002925,3866.1394192383,4454.6881562504,5420.07601182606,5553.26359443841,5460.35480632041,5453.63628152135,4147.45306358129,3917.53692780238,4080.11147514357,4115.06294750218,4143.42097511377,3609.61514790716,4160.56979218566,4961.55257664733,5364.02793706499
Andorra,4979.56582617054,5276.0233008797,6251.07829567747,7783.05232491681,9033.88703251786,10028.2402769983,9769.95401401246,10335.0849558244,11906.0922103573,15179.3369401581,15784.8263693255,13241.9483571503,12270.518212525,10226.4704920657,9879.82137939551,10011.2379762258,13335.4165413393,16231.7901745645,18472.5286213523,19884.4867189345,24754.3811299195,24715.9178234795,25432.4590514353,20139.9893961743,19927.0223221577,23336.7127963092,24205.8583863271,23089.6613223394,23454.7089658984,23883.3744806935,21810.1962520083,23511.3093593056,26528.1753415433,34063.5760110499,39021.0558933356,40829.8584102241,43467.1640701094,48336.1977867228,49132.5365255235,43974.994988649,42746.8631317668,46657.1789369991,41500.4807886028,42470.2865840673,44369.6668781388,38654.910371284,40129.8473119131,40672.9691736696,42819.7687187308,41257.8381086138,37361.0435114268,42425.6282564877,42414.0590111349,46812.448450114
Angola,650.603717277903,669.051270333584,664.54663260352,785.378744242705,851.039574207973,606.22622062777,562.826704163374,593.784063733423,639.666201002572,685.769568766542,879.394776695079,792.466841189932,763.849143933769,769.104277778139,783.675202132026,933.104564294662,843.903930291721,939.266351135087,978.617803736903,1100.41986160666,1175.83662583094,1346.46304125848,1496.06458242665,1049.95800977915,1046.11102410426,484.842098234929,615.74980389867,697.578619077002,568.479283322251,525.120743442933,753.779149004726,713.468253080439,882.147853989365,992.698981472305,1266.21022814059,1916.46724003141,2617.05195841725,3141.04598999777,4103.06689124963,3136.6453374717,3597.34314079817,4615.91052802288,5086.02730837169,5224.79084758273,5364.80301156613,4126.51759086867,3465.15385192029,4039.17672546031,3238.41611764254,2567.88014156491,1638.84079609062,2024.34975194427,3179.55920387714,2464.01076854092
Anguilla,619.622033903147,722.246806841123,845.970236275584,950.676816673766,1041.77957614607,1134.24334008549,1082.4748006455,1205.78560067021,1387.47221234342,1597.10787874692,1840.09242393578,2118.18073221617,2435.49598784059,2802.64118037098,3207.65208697276,3900.28042708417,4857.25621174575,5835.19348701604,7034.55324252549,8421.00201437532,9001.2811489904,8930.26436179946,9402.18391515541,9980.61158470998,10855.5886529817,10679.0688124814,11006.5917907483,12022.7853628936,13255.2641661306,13722.5887662406,13609.0656076135,13590.7122010434,13408.4140339535,14365.0662823848,16700.5042107072,18652.5307887165,22722.52508242,27970.0314972593,27602.3816625004,21618.3571134044,20009.4029946019,21569.6692624528,21424.0553880736,21619.6231456328,23028.259456193,23246.8959261866,22237.897294641,19333.4844084986,21650.6222151776,25611.6915404239,17609.3587948927,21086.5944604363,27431.0332236327,28850.4708150204
Antigua and Barbuda,524.823688678823,635.820993890346,872.947291597953,1217.87213707321,1303.96672171247,1338.00014701556,1113.52964029469,1265.59824598643,1428.89500215728,1753.1575408062,2084.07018166307,2352.10203012105,2601.31014552408,2883.86718594037,3266.30589777225,3789.67440710981,4518.64989639587,5272.79382719911,6265.61207483201,6929.27431972043,7285.54800320887,7599.46688449378,7752.3365238414,8159.75839837276,8818.12051568047,8465.90331991203,9103.74115999583,9579.02577679364,10051.6386684425,10400.9991040643,10463.4375939374,10171.905331563,10418.1331087033,10785.2228480342,11412.1820088613,12749.2618040407,14255.1973342009,16324.4698432644,17330.4136112183,15673.5469498225,14808.8953438905,14843.6440888834,15207.8505275847,15052.1842700258,15534.1507225696,16080.9065952843,16557.1433452593,16924.3391156112,18272.8975373543,18882.5487630268,15359.8495388013,17341.6223400522,20118.2440518933,21787.1017315914
Argentina,1423.23737678483,1676.04811342132,1534.85199446405,1652.64054133216,1867.76262386923,1996.30452957384,2073.2295306582,2305.82825276858,2350.63366394996,2681.13400187072,2918.93234230815,2974.02026086802,3009.27818506671,3204.00963920006,3332.68799962477,3149.01509549902,3723.70885505379,3768.38281038427,4326.9286118418,2573.35045292194,4676.58402076547,6186.81018362701,7358.36945100402,7512.52308515033,8068.15447790201,7975.51371146475,8307.49812084016,8833.15970687896,8911.454989747,8354.74436278618,8280.44192921493,7743.15145046219,2907.8486281081,3655.08819853664,4275.25014298911,5115.72239984174,5915.66689883713,7240.8441109248,9045.19686228134,8233.03833067574,10329.3999774971,12704.2844920635,13790.4926697057,14403.0217928239,13179.8347335214,14833.1996802953,12699.9622386722,14532.5009965463,11752.800031712,9955.97485573108,8535.59942037516,10738.0179600203,13935.6757764298,14187.4827412568
Armenia,,,,,,,,,,,,,,,,,,,,,618.538480000301,550.253932178857,335.705178763493,329.048425464028,369.032023741359,414.833993028763,519.419106764607,538.311589788504,628.927894542114,621.370420803205,652.200070777089,732.442472703085,829.342332210099,985.054924306582,1261.91065518414,1738.31061293332,2276.81149150275,3300.30392179558,4201.58993282067,3130.9806551238,3369.19651373484,3699.88879260675,3633.60785347778,3805.43915544848,3972.56564626031,3612.70047236937,3613.1840251759,3954.58148615219,4281.13077143842,4689.88356148515,4372.94046051903,4835.27180275959,6773.52694587115,8228.11881834217
Aruba,3352.39958112405,3541.26204083541,3722.82014056832,3885.64984140695,4046.0193509696,4213.28069830703,4404.70980238083,4621.41455554709,4851.36868747625,5095.3735063249,5354.62753155544,5619.51112787506,5882.60937333366,6152.59840817185,6442.4964424193,6765.46782937801,7130.60280419337,8603.93045587889,10558.2561095811,12272.3932541393,13282.0176811788,14664.1960249671,15570.2360703044,17048.918816138,18975.2625032113,18229.309181135,18424.4438998146,19791.6482699308,20830.7385802012,20877.5535181473,21106.7080583418,21000.5756407754,21469.304494676,22143.9901618847,24190.0885740936,25045.2802693042,25890.872640316,27722.5968101355,29068.2720348522,25789.3794101428,24508.038489753,26122.3431655017,25698.9937787861,26598.111917268,26997.8540045386,28439.1559925993,28421.8149833619,29248.0934408808,30781.948638961,31713.912386357,23108.5393194137,27235.9710873416,30425.7069230059,33802.1765655866
Australia,3588.8794516084,3882.88374228431,4464.82216649732,6341.52113740332,7455.19108945868,7853.31972442745,8369.84726877786,8201.91704493655,9460.92188531335,10353.451501187,11784.4158223271,13518.319355338,12646.395669917,12488.8064305999,13230.48073454,11504.8970027748,11912.1842169974,13923.9018723498,17339.8601716257,18970.8038293637,18930.5641238005,19000.5390216324,18590.1308471782,17903.6983410075,20255.7850992758,21669.1045489157,23797.5632886828,23632.795673773,20887.0879493399,22609.5100090515,21436.2968068703,20203.1671933633,22267.4377500113,28275.259006222,33950.5603483166,37613.6024199151,39827.1771410913,47105.6357761562,49511.8581940548,46699.7898684998,58769.059024779,68862.3105186649,69650.833148129,66447.4789385961,62047.6463560255,52009.8027593668,53703.2803819905,57085.7743992014,57920.5503561895,54059.5316281432,55758.8345616761,67440.5764512877,67972.1265459363,67128.6306509131
Austria,2050.92266748014,2371.95534612671,2913.03443057513,3875.90623145131,4613.14390533638,5265.56094191369,5656.82906966538,6785.17014330866,8174.28180171025,9757.26629710242,10827.9712313831,9349.52520802042,9374.46961180903,9500.65196266679,8956.59651578417,9137.20250473592,13032.4463351714,16329.7443620881,17508.9289693524,17398.4228387493,21591.6540578427,22316.0817352814,24775.5758774289,23980.3165204776,25541.0325415106,30201.3262002116,29640.6091090273,26565.3681843021,27206.0870746557,27073.3966791027,24483.1352323751,24430.6782493543,26335.9082273457,32105.4551657346,36607.419211059,38150.9945956822,40376.0698538819,46614.7300345355,51570.5096428251,47847.4488736732,46601.7336351643,51106.9865575706,48241.1925805775,50295.9654059032,51306.2014638389,43908.4202767517,45055.0686027827,47157.2459417314,51187.5379564637,49880.6246559275,48691.6132108887,53581.3519796721,52045.2774909003,56041.7482951788
Azerbaijan,,,,,,,,,,,,,,,,,,,,,901.41779612591,914.848656250662,715.283994809664,555.710079355082,449.739540191011,399.116643242131,405.63935528105,499.272549962702,554.012559692793,565.550131894532,644.985427267527,691.684033229773,748.97260515311,866.18500012672,1022.44275445922,1540.65834565131,2408.56551977055,3743.5730137333,5462.74139976539,4896.17109254377,5784.06698422378,7125.29117925261,7431.58792582067,7802.7527023228,7812.13367400658,5442.12663524033,3837.18734359559,4099.57275940351,4692.57897275665,4764.78457185421,4193.09881523081,5356.98889210738,7654.70068569469,7012.47575965362
Bahamas,4131.55188612946,4142.05614150909,4335.76623396496,4843.18580016037,5742.34418190141,5246.20073277875,5654.798196745,5877.15065455359,6711.39375047484,7994.67239626692,9416.36221755847,9586.807860059,10615.2925889599,11617.6324939313,12199.9754161928,13060.5772849728,13878.2560379908,15023.4587893943,15355.5783567525,17007.592883641,17277.1446737575,16689.9898728676,16376.1547527866,15982.4981653675,16551.1097403452,17131.9288995923,19141.7776587825,20367.701927283,21667.3854037188,24041.1871820383,24940.170148378,25371.8322575922,26781.7402160343,26429.1545745461,26650.3228540653,28602.4181869995,29184.9300322928,30051.735751442,29392.3824416397,27513.0233455528,27473.2092805556,27090.7031735485,28552.2821484597,27433.0110646967,28705.7409952446,30289.329415642,30266.4947546095,31337.1303865706,32124.4224186883,32979.5300335719,25155.6582529815,28682.3910256249,33044.3472925859,35896.4369542359
Bahrain,1877.1648446804,1971.91328401749,2377.32145000188,3212.72570799967,4174.71023671917,4181.95689978442,5722.79927278777,6853.34628564016,7464.1429289667,8501.3415490356,10486.1854539991,11376.7668141058,11544.5043497398,11422.3897464492,11528.1018955523,10398.3724386614,8381.23852169599,8210.78832220334,8695.52226652497,9004.702806095,9536.05068517196,9772.25139485035,9917.334923905,10565.7377576581,11091.0715416924,11440.857910829,11598.9555636495,11723.345506642,10944.8136131548,11583.0813710635,13535.191323364,12823.9600250557,12753.9848023629,13651.1152073492,15090.1228970598,17122.7303398346,18604.8901250359,20550.3212425803,22941.5126490031,19379.9623504175,21193.8169705317,23846.7954209075,25280.8733742,25882.5564841752,25431.5548772187,22670.4135471789,22548.2765737776,23936.4304284198,25241.1895240385,26017.7047421401,23298.3125551551,26114.5021114744,28935.5910742912,28453.4752748322
Bangladesh,89.717258641378,79.3694021176044,86.7038922971406,91.8295842304039,106.63182393021,108.853602388486,118.305486708967,121.53258798639,151.996776863022,171.736929743493,190.069438251859,187.898391614572,166.38617629259,165.31709511341,188.866840099715,191.205144273353,197.005848259236,218.888647027369,231.446617724088,246.309203372946,252.043666970524,264.236631576787,264.682749280979,268.2185413246,279.822618339838,308.857385526658,318.719271278258,323.663347099599,329.237406368708,338.799265947697,337.952516099148,332.097907151705,339.692743062434,366.675949882927,391.524452569152,398.215696253742,477.928724133818,549.232183659342,635.677228940725,714.582728990628,808.695403495679,880.107808041975,926.355836560537,1112.79892419261,1265.84461152891,1435.43702428822,1645.04805114432,1781.64425842786,1933.70587519637,2119.13926818492,2246.33828992988,2474.70964449898,2555.7536286574,2463.62846123089
